q,h,u,conc,q_b,u_b,E,D,R_n,Co,Hyp,coeff_3,t_cpu,case,d_median_input,
25.00038015,6.940621574,3.602037638,0.003140659,0.007423142,0.108289162,0.001388458,0.00138846,4.215651693,0.036020376,20,1,,1e,0.045,
30.00051832,7.736606711,3.877735993,0.003579592,0.00949751,0.124241467,0.001580373,0.001580375,3.987528037,0.03877736,20,1,,1e,0.045,
40.00083125,9.186411332,4.354347937,0.004330172,0.013692614,0.150738805,0.001907342,0.001907346,3.65093965,0.043543479,20,1,,1e,0.045,
50.00118608,10.49938871,4.76229497,0.004966383,0.017914231,0.172442335,0.002183297,0.002183303,3.408358713,0.04762295,20,1,,1e,0.045,
60.00157525,11.7129499,5.122669843,0.005524919,0.022143022,0.190958042,0.002424661,0.00242467,3.22141395,0.051226698,20,1,,1e,0.045,
70.00199414,12.84977505,5.447721366,0.006026615,0.026370284,0.207189778,0.002640746,0.002640758,3.070857092,0.054477214,20,1,,1e,0.045,
80.00243955,13.92488598,5.745285071,0.006484587,0.030591797,0.221698329,0.002837406,0.002837422,2.945758073,0.057452851,20,1,,1e,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,5.05955609,0.006887404,40,1,,1f,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,4.168680627,0.009350998,40,1,,1f,0.045,
2.00000333,1.585556518,1.261388861,0.000569045,4.15E-05,0.0015972,9.74E-05,9.74E-05,3.415626967,0.012613889,40,1,,1f,0.045,
5.000083607,2.690993398,1.858080963,0.006095088,0.001740456,0.039304799,0.001020113,0.001020115,2.563100335,0.01858081,40,1,,1f,0.045,
7.500168888,3.409640093,2.199695181,0.009222497,0.003517915,0.062585022,0.001523712,0.001523717,2.247808127,0.021996952,40,1,,1f,0.045,
10.00024963,4.036650389,2.477363322,0.011771783,0.005381461,0.080745375,0.00192441,0.001924424,2.044126441,0.024773633,40,1,,1f,0.045,
12.50031931,4.603501205,2.715393944,0.013972249,0.007284304,0.095712048,0.002263265,0.00226329,1.896653814,0.027153939,40,1,,1f,0.045,
15.00037959,5.126711083,2.925926455,0.015935636,0.009207962,0.108510647,0.002560167,0.002560207,1.782537604,0.029259265,40,1,,1f,0.045,
20.00050843,6.078794597,3.290209621,0.019383164,0.013086366,0.129780046,0.003069194,0.003069274,1.613351897,0.032902096,40,1,,1f,0.045,
25.00074373,6.940102827,3.602359269,0.022400723,0.016983649,0.147234059,0.003502012,0.003502128,1.490636316,0.036023593,40,1,,1f,0.045,
30.00118854,7.735461994,3.878396466,0.025127982,0.020888222,0.162160172,0.003883108,0.003883242,1.395476777,0.038783965,40,1,,1f,0.045,
40.0027519,9.183374386,4.355997047,0.030002416,0.028703457,0.187035203,0.004540747,0.004540848,1.253909913,0.043559971,40,1,,1f,0.045,
50.00475469,10.49358241,4.765270105,0.034366427,0.036519331,0.207553862,0.005104317,0.00510436,1.150697284,0.047652701,40,1,,1f,0.045,
60.0067624,11.70334042,5.127319228,0.038400608,0.044338485,0.225201771,0.00560444,0.005604445,1.07017694,0.051273192,40,1,,1f,0.045,
70.00883913,12.83529137,5.45440202,0.042210064,0.052166585,0.240803492,0.006058611,0.006058592,1.00448141,0.05454402,40,1,,1f,0.045,
80.01091768,13.90430423,5.754399243,0.045865729,0.060011935,0.254870818,0.006478156,0.006478145,0.949115881,0.057543992,40,1,,1f,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,29.24378165,0.006887404,0,2,,2a,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,24.09460116,0.009350998,0,2,,2a,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,19.78792606,0.01261389,0,2,,2a,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,15.18935464,0.018580917,0,2,,2a,0.045,
7.5,3.40952429,2.199720361,0,0,0,0,0,13.4940981,0.021997204,0,2,,2a,0.045,
10,4.036488326,2.477400947,0,0,0,0,0,12.40191948,0.02477401,0,2,,2a,0.045,
12.50000876,4.603321666,2.715432392,0.000085781,0.000325032,0.011933579,8.51E-05,8.51E-05,11.61085152,0.027154324,0,2,,2a,0.045,
15.00002098,5.126552055,2.925947268,0.000171153,0.000962205,0.031717375,0.000169686,0.000169686,11.00009541,0.029259473,0,2,,2a,0.045,
20.00005139,6.078816682,3.290122476,0.000314576,0.002594913,0.072120015,0.000311771,0.000311771,10.0982801,0.032901225,0,2,,2a,0.045,
25.00008862,6.940515061,3.602050913,0.000433882,0.004474592,0.108900059,0.000429888,0.000429888,9.447882244,0.036020509,0,2,,2a,0.045,
30.00013158,7.736474225,3.877752412,0.000537097,0.006490687,0.141690208,0.000532018,0.000532018,8.946418997,0.038777524,0,2,,2a,0.045,
40.00023245,9.18623289,4.354367337,0.000711478,0.010753478,0.197641751,0.000704449,0.000704449,8.206670502,0.043543673,0,2,,2a,0.045,
50.00035029,10.49917513,4.762312245,0.000857412,0.015189546,0.244203681,0.000848638,0.000848638,7.67367251,0.047623123,0,2,,2a,0.045,
60.00048274,11.71271171,5.122680745,0.000984253,0.019722058,0.284162302,0.000973879,0.00097388,7.263024121,0.051226808,0,2,,2a,0.045,
70.000628,12.84951743,5.447724272,0.001097255,0.024313067,0.319259174,0.00108539,0.00108539,6.932385662,0.054477243,0,2,,2a,0.045,
80.00078495,13.92461857,5.745276578,0.001199688,0.028941277,0.350631778,0.001186417,0.001186417,6.657721545,0.057452766,0,2,95.1875,2a,0.045,
0.499999999,0.725962938,0.688740393,0,0,0,0,0,25.12077248,0.006887404,4,2,71.09375,2b,0.045,
1,1.06940456,0.935099809,0,0,0,0,0,20.69756234,0.009350998,4,2,44.90625,2b,0.045,
2,1.585553708,1.261388996,0,0,0,0,0,16.99807482,0.01261389,4,2,42.140625,2b,0.045,
5,2.690932914,1.858091658,0,0,0,0,0,13.04784473,0.018580917,4,2,51.046875,2b,0.045,
7.5,3.40952429,2.199720361,0,0,0,0,0,11.59159825,0.021997204,4,2,79.734375,2b,0.045,
12.50001947,4.603325865,2.715432242,0.000211814,0.000894288,0.029555846,0.00018037,0.00018037,9.970573981,0.027154322,4,2,36.125,2b,0.045,
10.00000602,4.036490877,2.477400873,8.19E-05,0.000202608,0.007637885,6.97E-05,6.97E-05,10.65117949,0.024774009,4,2,91,2b,0.045,
15.00003573,5.126557532,2.925947019,0.000323935,0.00177638,0.052707817,0.000275768,0.000275768,9.445373316,0.02925947,4,2,24.65625,2b,0.045,
20.00007539,6.078824908,3.290121971,0.000512778,0.003828251,0.095768749,0.000436321,0.000436321,8.669886569,0.03290122,4,2,88,2b,0.045,
25.00012318,6.94052626,3.602050082,0.000670286,0.006089562,0.133393589,0.000570114,0.000570115,8.110597739,0.036020501,4,2,93.078125,2b,0.045,
30.00017799,7.736488454,3.877751278,0.000806828,0.008468796,0.166391419,0.000686012,0.000686012,7.67937917,0.038777513,4,2,46.796875,2b,0.045,
40.00030533,9.18625299,4.354365744,0.001038047,0.013426562,0.222090689,0.000882087,0.000882087,7.04325009,0.043543657,4,2,32.421875,2b,0.045,
